job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred
1,Foster and Sons,Healthcare,Data Analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",92860-109598,20-08-2025,Large,"KDB+, LangChain"
2,"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",78523-144875,22-03-2024,Large,"FastAPI, KDB+, TensorFlow"
3,King Inc,Tech,Quant Researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",124496-217204,18-09-2025,Large,"BigQuery, PyTorch, Scikit-learn"
4,"Cooper, Archer and Lynch",Tech,AI Product Manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",50908-123743,08-05-2024,Large,"TensorFlow, BigQuery, MLflow"
5,Hall LLC,Finance,Data Scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",98694-135413,24-02-2025,Large,"PyTorch, LangChain"
6,Ellis PLC,E-commerce,AI Product Manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",92632-180718,07-08-2025,Large,"PyTorch, TensorFlow, FastAPI"
7,Matthews-Moses,Automotive,Data Analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",70575-88594,23-12-2024,Large,"PyTorch, MLflow"
8,Mullins Ltd,Education,Data Scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",63032-82144,14-08-2024,Large,BigQuery
9,Aguilar PLC,Healthcare,ML Engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",134239-188504,15-09-2025,Large,"Scikit-learn, LangChain, BigQuery"
10,Parks LLC,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",79361-165029,07-08-2025,Large,"MLflow, TensorFlow"
11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,10-01-2024,Large,"LangChain, BigQuery, Scikit-learn"
